Traffic_Source,User_Retention
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Facebook,Intermittent
Organic,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Facebook,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Facebook,Intermittent
Facebook,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Facebook,Intermittent
Display,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Email,Intermittent
Facebook,Intermittent
Facebook,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Facebook,Intermittent
Facebook,Intermittent
Search,Intermittent
Email,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Facebook,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Display,Intermittent
Search,Intermittent
Facebook,Intermittent
Display,Intermittent
Search,Intermittent
Search,Intermittent
Display,Intermittent
Search,Loyal
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
Display,Intermittent
Organic,Intermittent
Search,Intermittent
Search,Intermittent
Facebook,Intermittent
Search,Intermittent
Email,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Search,Intermittent
Organic,Intermittent
Search,Intermittent
